"Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, statistiène regije, Slovenija, letno"

"SPOL";"STATISTIÈNA REGIJA";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Ženske";"SLOVENIJA";1028125;1029716;1028879;1026965;1024948;1025102;1022192;1018355;1016763;1015117;1016943;1017352;1019024;1019446;1019631;1020538;1021893;1023395;1025242;1028417;1032869;1035626;1038765;1039760;1040211;1040645;1040855;1040770;1039839;1042252;1044795;1049039
"Ženske";"Pomurska";67557;67352;67136;67106;66934;66699;65384;65111;64873;64633;64384;64137;63922;63660;63493;63322;63111;62948;62682;61322;61350;61080;60910;60217;59689;59325;58951;58697;58267;57874;57703;57701
"Ženske";"Podravska";168770;168898;169002;168532;167310;167276;165069;164556;164265;164044;164072;163957;163864;163780;163600;163458;163364;163194;163052;163901;163721;163713;163871;163369;163043;162930;162325;161996;161607;161794;161882;162348
"Ženske";"Koroška";37359;37490;37492;37427;37449;37402;37267;37122;37126;37144;37181;37181;37158;37074;37076;37056;36964;36891;36789;36093;36261;36093;36051;35895;35599;35467;35383;35267;35131;34945;34927;34858
"Ženske";"Savinjska";132481;132793;132681;132515;132188;132247;131378;130973;130741;130377;130652;130612;130827;130716;130626;130641;130613;130678;131044;129727;130058;130285;130462;130288;129799;126865;127068;127008;126834;126981;127240;127530
"Ženske";"Zasavska";24593;24552;24419;24314;24221;24141;24347;24183;24033;23931;23933;23784;23687;23582;23507;23401;23316;23250;23197;22937;22813;22585;22413;22162;21897;29326;29114;29003;28878;28742;28739;28664
"Ženske";"Posavska";37241;37176;37009;36888;36867;36688;36264;35668;35474;35439;35329;35284;35334;35315;35289;35275;35333;35318;35265;34881;34974;34977;34949;34894;34663;37574;37595;37586;37431;37327;37328;37429
"Ženske";"Jugovzhodna Slovenija";52829;53054;53104;53278;53324;53407;53420;53769;53828;53780;69774;69859;70035;70053;70146;70251;70411;70617;70724;70235;70480;70703;70915;70868;70675;70636;70724;70667;70752;70884;71118;71492
"Ženske";"Osrednjeslovenska";268086;268493;268316;267903;267700;268101;268757;267506;267273;266888;251856;252528;253654;254538;255060;256030;257359;258649;260014;267326;270033;272266;274313;277146;279698;273637;274679;275554;276369;278878;280521;280236
"Ženske";"Gorenjska";99913;100380;100454;100309;100382;100491;100486;100296;100411;100384;100674;100834;101011;101227;101283;101501;101688;102012;102216;102265;102656;102946;103247;103142;102999;102920;102876;102845;102618;102657;103005;104938
"Ženske";"Primorsko-notranjska";25595;25663;25431;25217;25221;25224;25791;25513;25517;25457;25629;25641;25705;25639;25658;25751;25746;25834;25893;25721;25875;25895;25962;25977;26005;25987;25982;25945;25864;25878;25854;25947
"Ženske";"Goriška";61867;61844;61676;61549;61443;61424;61550;61367;61075;60888;61006;60901;60953;60839;60696;60612;60522;60391;60352;59412;59492;59585;59722;59635;59218;59133;59046;58851;58552;58457;58365;58550
"Ženske";"Obalno-kraška";51834;52021;52159;51927;51909;52002;52479;52291;52147;52152;52453;52634;52874;53023;53197;53240;53466;53613;54014;54597;55156;55498;55950;56167;56926;56845;57112;57351;57536;57835;58113;59346
