REGIJA,SPOL,LETO,DELOVNO.AKTIVNO.PREBIVALSTVO,PREBIVALSTVO
Koroška,Skupaj,2011,28057,72494
Koroška,Skupaj,2012,27978,72364
Koroška,Skupaj,2013,27044,72100
Koroška,Skupaj,2014,27088,71546
Koroška,Skupaj,2015,27048,71303
Koroška,Skupaj,2016,27014,71040
Koroška,Skupaj,2017,27666,70761
Koroška,Skupaj,2018,28234,70550
Koroška,Skupaj,2019,28529,70588
Koroška,Skupaj,2020,28627,70755
Koroška,Moški,2005,NA,36783
Koroška,Moški,2006,NA,36790
Koroška,Moški,2007,NA,36728
Koroška,Moški,2008,NA,36925
Koroška,Moški,2009,NA,36388
Koroška,Moški,2010,16023,36551
Koroška,Moški,2011,16057,36401
Koroška,Moški,2012,15991,36313
Koroška,Moški,2013,15456,36205
Koroška,Moški,2014,15487,35947
Koroška,Moški,2015,15324,35836
Koroška,Moški,2016,15073,35657
Koroška,Moški,2017,15392,35494
Koroška,Moški,2018,15618,35419
Koroška,Moški,2019,15802,35643
Koroška,Moški,2020,15759,35828
Koroška,Ženske,2005,NA,37056
Koroška,Ženske,2006,NA,36964
Koroška,Ženske,2007,NA,36891
Koroška,Ženske,2008,NA,36789
Koroška,Ženske,2009,NA,36093
Koroška,Ženske,2010,12166,36261
Koroška,Ženske,2011,12000,36093
Koroška,Ženske,2012,11987,36051
Koroška,Ženske,2013,11589,35895
Koroška,Ženske,2014,11601,35599
Koroška,Ženske,2015,11724,35467
Koroška,Ženske,2016,11941,35383
Koroška,Ženske,2017,12275,35267
Koroška,Ženske,2018,12616,35131
Koroška,Ženske,2019,12727,34945
Koroška,Ženske,2020,12869,34927
Savinjska,Skupaj,2005,104434,256752
Savinjska,Skupaj,2006,106136,257375
Savinjska,Skupaj,2007,110340,258480
Savinjska,Skupaj,2008,114089,261243
Savinjska,Skupaj,2009,110308,258845
Savinjska,Skupaj,2010,106677,260025
Savinjska,Skupaj,2011,105746,259726
Savinjska,Skupaj,2012,104428,260253
Savinjska,Skupaj,2013,102554,260217
Savinjska,Skupaj,2014,102594,259853
Savinjska,Skupaj,2015,100482,253975
Savinjska,Skupaj,2016,101920,254318
Savinjska,Skupaj,2017,105913,254761
Savinjska,Skupaj,2018,109398,254760
Savinjska,Skupaj,2019,112302,256359
Savinjska,Skupaj,2020,111627,257847
Savinjska,Moški,2005,NA,126111
Savinjska,Moški,2006,NA,126762
Savinjska,Moški,2007,NA,127802
Savinjska,Moški,2008,NA,130199
Savinjska,Moški,2009,NA,129118
Savinjska,Moški,2010,60520,129967
Savinjska,Moški,2011,59545,129441
Savinjska,Moški,2012,58681,129791
Savinjska,Moški,2013,57468,129929
Savinjska,Moški,2014,58038,130054
Savinjska,Moški,2015,56534,127110
Savinjska,Moški,2016,56918,127250
Savinjska,Moški,2017,59334,127753
Savinjska,Moški,2018,61200,127926
Savinjska,Moški,2019,63258,129378
Savinjska,Moški,2020,62684,130607
Savinjska,Ženske,2005,NA,130641
Savinjska,Ženske,2006,NA,130613
Savinjska,Ženske,2007,NA,130678
Savinjska,Ženske,2008,NA,131044
Savinjska,Ženske,2009,NA,129727
Savinjska,Ženske,2010,46157,130058
Savinjska,Ženske,2011,46201,130285
Savinjska,Ženske,2012,45747,130462
Savinjska,Ženske,2013,45086,130288
Savinjska,Ženske,2014,44556,129799
Savinjska,Ženske,2015,43948,126865
Savinjska,Ženske,2016,45002,127068
Savinjska,Ženske,2017,46579,127008
Savinjska,Ženske,2018,48198,126834
Savinjska,Ženske,2019,49044,126981
Savinjska,Ženske,2020,48943,127240
Zasavska,Skupaj,2005,17574,45547
Zasavska,Skupaj,2006,17798,45356
